Codigo;Tipo;Externo;Interno;Altura
AG7465;TEFLON;28.0;40.8;3.0
AG7468;TEFLON;43.4;1.1;1.7
AG7472;TEFLON;75.0;8.8;2.5
AG7489;TEFLON;50.8;1.58;3.2
AG7494;TEFLON;50.8;3.0;1.6
AG7501;TEFLON;56.3;3.8;1.65
AG7528;TEFLON;149.5;10.0;4.0
AG7529;TEFLON;71.5;10.0;4.0
AG7561;TEFLON;41.6;3.0;1.6
AG7573;TEFLON;114.8;6.2;2.95
AG7575;TEFLON;55.0;3.9;2.8
AG7583;TEFLON;9.6;2.5;1.3
AG7592;TEFLON;65.0;4.0;2.8
AG7614;TEFLON;50.0;4.2;2.65
AG7625;TEFLON;147.0;9.2;3.65
AG7627;TEFLON;14.27;1.35;2.18
AG7636;TEFLON;31.75;1.5;3.2
AG7657;TEFLON;31.0;2.5;1.5
AG7692;TEFLON;101.6;9.3;3.2
AG7696;TEFLON;57.4;3.0;1.6
AG7705;TEFLON;6.0;8.0;2.7
AG7731;TEFLON;79.4;12.0;3.0
AG7733;TEFLON;124.5;15.8;3.7
AG7750;TEFLON;115.0;7.9;5.0
AG7785;TEFLON;132.1;8.0;4.0
AG7786;TEFLON;122.9;7.9;4.0
AG7787;TEFLON;61.0;6.0;2.7
AG7789;TEFLON;110.1;7.9;3.2
AG7790;TEFLON;90.6;6.0;2.5
AG7791;TEFLON;101.6;7.5;3.75
AG7794;TEFLON;103.1;3.6;3.0
AG7808;TEFLON;130.0;6.0;4.0
AG7818;TEFLON;120.0;7.9;3.0
