Codigo;Tipo;Interno;Externo;Altura
8140;BACKUP;57.61;61.97;1.35
8141;BACKUP;59.21;63.57;1.35
8143;BACKUP;62.38;66.74;1.35
8144;BACKUP;63.96;68.32;1.35
8145;BACKUP;65.56;69.92;1.35
8145T;BACKUP;65.8;70.0;1.0
8146;BACKUP;67.13;71.49;1.35
8147;BACKUP;68.73;73.09;1.35
8149;BACKUP;71.91;76.27;1.35
8150;BACKUP;73.48;77.84;1.35
8151;BACKUP;76.66;81.02;1.35
8152;BACKUP;83.01;87.37;1.35
8154;BACKUP;95.71;100.07;1.35
8155;BACKUP;102.06;106.42;1.35
8205;BACKUP;11.13;17.22;1.2
8206;BACKUP;13.19;19.38;1.2
8207;BACKUP;14.73;20.81;1.27
8208;BACKUP;16.33;22.33;1.27
8210;BACKUP;19.46;25.46;1.27
8210ET;BACKUP;19.05;25.4;1.4
8211;BACKUP;21.03;27.03;1.27
8211ET;BACKUP;20.3;26.5;1.4
8212;BACKUP;22.63;28.63;1.27
8212ET;BACKUP;22.22;28.57;1.4
8214;BACKUP;25.81;31.81;1.27
8214ET;BACKUP;25.4;31.75;1.4
8215;BACKUP;27.38;33.38;1.27
8216;BACKUP;28.98;34.98;1.27
8216ET;BACKUP;18.0;18.5;1.4
8217;BACKUP;30.56;36.56;1.27
8218;BACKUP;32.16;38.16;1.27
8219;BACKUP;33.88;39.88;1.27
8219PU;BACKUP;32.65;37.45;1.35
8220;BACKUP;35.48;41.48;1.27
8221;BACKUP;37.06;43.06;1.27
8222;BACKUP;38.66;44.66;1.27
8222ET;BACKUP;38.09;44.45;1.4
