Codigo;Tipo;Externo;Interno;Altura
AG7708;GUIA;45.9;10.0;2.95
AG7709;GUIA;80.0;15.0;4.9
AG7710;GUIA;125.0;15.0;5.55
AG7715;GUIA;80.0;18.0;4.9
AG7815;GUIA;125.0;9.5;2.5
AG7844;GUIA;140.0;15.0;2.5
AG7845;GUIA;75.0;9.5;2.5
AG7846;GUIA;133.35;12.7;3.17
AG7847;GUIA;75.0;20.0;3.0
AG7851;GUIA;76.2;12.7;1.6
AG7860;GUIA;80.0;32.0;2.5
AG7867;GUIA;45.0;32.0;2.5
AG7868;GUIA;60.0;29.2;2.5
AG7871;GUIA;38.1;3.75;1.9
AG7872;GUIA;58.3;3.75;1.5
AG7919;GUIA;55.0;15.0;3.0
AG7922;GUIA;60.0;10.0;2.5
AG7924;GUIA;40.0;15.0;2.5
AG7925;GUIA;100.0;25.0;2.5
AG7957;GUIA;69.85;9.5;1.58
AG7965;GUIA;73.0;15.0;1.5
AG7974;GUIA;34.92;25.4;1.6
AG7978;GUIA;60.0;10.0;2.0
AG7982;GUIA;65.0;15.0;2.5
AG7999;GUIA;27.22;10.0;2.5
AG8015;GUIA;23.7;6.35;1.85
AG8057;GUIA;63.5;9.5;1.6
AG8096;GUIA;65.0;25.0;2.5
AG8103;GUIA;63.5;4.76;3.17
AG8132;GUIA;100.0;6.3;2.5
AG8165;GUIA;58.8;10.0;4.0
AG8169;GUIA;34.92;6.35;3.17
AG8193;GUIA;35.8;9.52;1.95
AG8236;GUIA;140.0;12.5;6.0
AG8239;GUIA;160.0;15.0;6.0
AG8269;GUIA;85.73;6.35;2.4
AG8298;GUIA;68.0;9.5;2.5
AG8300;GUIA;86.0;12.0;3.0
AG8304;GUIA;65.0;10.0;2.5
AG8310;GUIA;31.75;2.0;8.0
AG8317;GUIA;47.62;19.05;3.17
AG8330;GUIA;93.0;15.0;1.5
AG8335;GUIA;41.27;12.7;3.17
AG8342;GUIA;62.0;9.5;2.5
AG8344;GUIA;44.45;25.4;3.17
AG8345;GUIA;;;
